Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4,utc_time,local_time
2024-05-28 20:42:45.231125+00:00,428547.541,False,3.092841,3.188277,3.231175,3.093599,2024-11-27 19:25:47.641032000,2024-11-27 14:25:47.641032000
2024-05-28 20:42:45.374875+00:00,428547.682,False,2.208307,2.039401,1.980184,2.081817,2024-11-27 19:25:47.784782000,2024-11-27 14:25:47.784782000
2024-05-28 20:42:45.503125+00:00,428547.819,False,1.638723,1.346013,1.123055,1.117477,2024-11-27 19:25:47.913032000,2024-11-27 14:25:47.913032000
2024-05-28 20:42:45.582850+00:00,428547.904,False,1.059431,1.084495,1.121195,1.112933,2024-11-27 19:25:47.992757000,2024-11-27 14:25:47.992757000
2024-05-28 20:42:45.663100+00:00,428547.972,False,1.257394,1.085252,1.121471,1.112933,2024-11-27 19:25:48.073007000,2024-11-27 14:25:48.073007000
2024-05-28 20:42:45.663100+00:00,428547.983,False,1.050135,1.084426,1.121195,1.112588,2024-11-27 19:25:48.073007000,2024-11-27 14:25:48.073007000
2024-05-28 20:42:45.679050+00:00,428547.997,False,3.541168,3.534764,3.449933,3.422941,2024-11-27 19:25:48.088957000,2024-11-27 14:25:48.088957000
2024-05-28 20:42:45.679050+00:00,428547.999,True,1.050548,1.084495,1.121058,1.11252,2024-11-27 19:25:48.088957000,2024-11-27 14:25:48.088957000
2024-05-28 20:42:45.807225+00:00,428548.118,False,1.050411,1.084564,1.120989,1.112657,2024-11-27 19:25:48.217132000,2024-11-27 14:25:48.217132000
2024-05-28 20:42:45.807225+00:00,428548.123,False,2.497712,2.361651,2.409506,2.451922,2024-11-27 19:25:48.217132000,2024-11-27 14:25:48.217132000
2024-05-28 20:42:45.807225+00:00,428548.127,False,2.242942,2.248932,2.272894,2.178492,2024-11-27 19:25:48.217132000,2024-11-27 14:25:48.217132000
2024-05-28 20:42:45.903375+00:00,428548.218,False,2.347604,2.321507,2.36895,2.304155,2024-11-27 19:25:48.313282000,2024-11-27 14:25:48.313282000
2024-05-28 20:42:45.903375+00:00,428548.224,False,1.766453,1.166572,1.121127,1.112933,2024-11-27 19:25:48.313282000,2024-11-27 14:25:48.313282000
2024-05-28 20:42:45.951150+00:00,428548.263,False,2.185102,2.077548,2.15453,2.160176,2024-11-27 19:25:48.361057000,2024-11-27 14:25:48.361057000
2024-05-28 20:42:45.951150+00:00,428548.267,False,1.391596,1.105634,1.121264,1.112726,2024-11-27 19:25:48.361057000,2024-11-27 14:25:48.361057000
2024-05-28 20:42:45.966925+00:00,428548.288,False,2.821614,0.001171,0.0,0.0,2024-11-27 19:25:48.376832000,2024-11-27 14:25:48.376832000
